date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:15	145/145	---M--	200	added ('OK')	image/png	etag:%2242e9b20849a9c3fe4755c1433ebdf806%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/arrow_right.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/arrow_right.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:15	122/122	---M--	200	added ('OK')	image/png	etag:%22081b6eaa33e8df508abac7f1fcd65f27%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/menu_l1_item.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/menu_l1_item.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:16	153/153	---M--	200	added ('OK')	image/png	etag:%228f7992f4fcc4d4fd0df5b657e917d739%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/menu_l1_selected.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/menu_l1_selected.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:16	122/122	---M--	200	added ('OK')	image/png	etag:%22ebdc78e1ccffc271b13ccc510bef1327%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/menu_l2_item.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/menu_l2_item.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:16	137/137	---M--	200	added ('OK')	image/png	etag:%22491083ba9818b5c5ea86ea985b1c13c9%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/menu_item.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/menu_item.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:16	141/141	---M--	200	added ('OK')	image/png	etag:%22f39a62250e59a840975ad54a139ce7d3%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/menu_l2_selected.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/menu_l2_selected.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:16	146/146	---M--	200	added ('OK')	image/png	etag:%22f66d9820d18cbb3363328dfeca7fef0a%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/menu_l3_selected.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/menu_l3_selected.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:17	122/122	---M--	200	added ('OK')	image/png	etag:%225174a088d7e4fb213000f7d802ce68ff%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/quick.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/quick.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:17	157/157	---M--	200	added ('OK')	image/png	etag:%2221bf51021c6926b6b8f2ebb163517b0b%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/homepage.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/homepage.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:17	146/146	---M--	200	added ('OK')	image/png	etag:%2259b2b92f8feeb2333989b7ea43093479%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/sitemap.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/sitemap.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:17	139/139	---M--	200	added ('OK')	image/png	etag:%221cbe06103fbe9f60363857473d382bc3%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/print.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/print.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
10:22:18	147/147	---M--	200	added ('OK')	image/png	etag:%22b050447e0204a0df02c8f6491a650d45%22	https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/img/rss.png	C:/Users/Ant/websites/HTTrack/goodxfoood.webnode.cz/_system/skins/v9/50000006/img/rss.png	(from https://d11bh4d8fhuq47.cloudfront.net/_system/skins/v9/50000006/css/style.css)
